OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
207903718193906|48451001707|Census Tract 17.07|6112807|0|G5020|S|207403718193906|48451001707|Census Tract 17.07|6105444|0|G5020|S|6105444|0
207903718193890|48451001708|Census Tract 17.08|92717630|9110358|G5020|S|207403718193917|48451000801|Census Tract 8.01|31009738|6944|G5020|S|60491|0
207903718193890|48451001708|Census Tract 17.08|92717630|9110358|G5020|S|207403718193890|48451001708|Census Tract 17.08|92670381|9110358|G5020|S|92650884|9110358
207903718193890|48451001708|Census Tract 17.08|92717630|9110358|G5020|S|207403718193923|48451980000|Census Tract 9800|5862627|0|G5020|S|6255|0
2079015503688598|48451001709|Census Tract 17.09|1022881273|17209149|G5020|S|20740476357558|48235950100|Census Tract 9501|2723534527|176317|G5020|S|48532|0
2079015503688598|48451001709|Census Tract 17.09|1022881273|17209149|G5020|S|20740374773817|48451001101|Census Tract 11.01|7489094|0|G5020|S|1436|0
2079015503688598|48451001709|Census Tract 17.09|1022881273|17209149|G5020|S|20740374774014|48451001704|Census Tract 17.04|1936929606|38585862|G5020|S|1022831305|17209149
2079015503688579|48451001710|Census Tract 17.10|913732626|21376713|G5020|S|20740374773745|48451001600|Census Tract 16|1698741630|286561|G5020|S|5009|0
2079015503688579|48451001710|Census Tract 17.10|913732626|21376713|G5020|S|20740374774014|48451001704|Census Tract 17.04|1936929606|38585862|G5020|S|913727617|21376713
207903718193928|48451001800|Census Tract 18|5361963|0|G5020|S|207403718193928|48451001800|Census Tract 18|5361963|0|G5020|S|5361963|0
207903718193923|48451980000|Census Tract 9800|5875869|0|G5020|S|207403718193890|48451001708|Census Tract 17.08|92670381|9110358|G5020|S|19497|0
207903718193923|48451980000|Census Tract 9800|5875869|0|G5020|S|207403718193923|48451980000|Census Tract 9800|5862627|0|G5020|S|5856372|0
20790378116808|48453000101|Census Tract 1.01|3049819|0|G5020|S|20740378116808|48453000101|Census Tract 1.01|3125000|0|G5020|S|3049819|0
20790378116826|48453000102|Census Tract 1.02|5575523|138159|G5020|S|20740378116808|48453000101|Census Tract 1.01|3125000|0|G5020|S|75181|0
20790378116826|48453000102|Census Tract 1.02|5575523|138159|G5020|S|20740378116826|48453000102|Census Tract 1.02|5497568|138159|G5020|S|5497568|138159
20790378116826|48453000102|Census Tract 1.02|5575523|138159|G5020|S|20740378104148|48453001719|Census Tract 17.19|4903197|275486|G5020|S|2774|0
20790378116873|48453000203|Census Tract 2.03|1208518|0|G5020|S|20740378116873|48453000203|Census Tract 2.03|1208518|0|G5020|S|1208518|0
20790378116888|48453000204|Census Tract 2.04|1822932|0|G5020|S|20740378116888|48453000204|Census Tract 2.04|1822932|0|G5020|S|1822932|0
207903717220840|48453000205|Census Tract 2.05|1512162|0|G5020|S|207403717220840|48453000205|Census Tract 2.05|1512162|0|G5020|S|1512162|0
207903717220838|48453000206|Census Tract 2.06|1480808|0|G5020|S|207403717220838|48453000206|Census Tract 2.06|1480808|0|G5020|S|1480808|0
20790378116915|48453000302|Census Tract 3.02|2052163|0|G5020|S|20740378116915|48453000302|Census Tract 3.02|2052163|0|G5020|S|2052163|0
207903717221168|48453000304|Census Tract 3.04|1192522|0|G5020|S|207403717221168|48453000304|Census Tract 3.04|1192522|0|G5020|S|1192522|0
207903717220839|48453000305|Census Tract 3.05|1479019|0|G5020|S|207403717220839|48453000305|Census Tract 3.05|1479019|0|G5020|S|1479019|0
207903717220842|48453000307|Census Tract 3.07|1214341|0|G5020|S|207403717220842|48453000307|Census Tract 3.07|1214341|0|G5020|S|1214341|0
2079015903373861|48453000308|Census Tract 3.08|1466970|0|G5020|S|207403717221208|48453000306|Census Tract 3.06|3369046|0|G5020|S|1466970|0
2079015903343124|48453000309|Census Tract 3.09|1902076|0|G5020|S|207403717221208|48453000306|Census Tract 3.06|3369046|0|G5020|S|1902076|0
20790378116946|48453000401|Census Tract 4.01|2182693|0|G5020|S|20740378116946|48453000401|Census Tract 4.01|2182693|0|G5020|S|2182693|0
20790378116961|48453000402|Census Tract 4.02|1543583|0|G5020|S|20740378116961|48453000402|Census Tract 4.02|1543583|0|G5020|S|1543583|0
20790378116974|48453000500|Census Tract 5|1152032|0|G5020|S|20740378116974|48453000500|Census Tract 5|1152032|0|G5020|S|1152032|0
20790378116990|48453000601|Census Tract 6.01|1113390|0|G5020|S|20740378116990|48453000601|Census Tract 6.01|1113390|0|G5020|S|1113390|0
2079015903259325|48453000605|Census Tract 6.05|476629|0|G5020|S|20740378117009|48453000603|Census Tract 6.03|790189|0|G5020|S|476629|0
2079015903238948|48453000606|Census Tract 6.06|313560|0|G5020|S|20740378117009|48453000603|Census Tract 6.03|790189|0|G5020|S|313560|0
2079015903239385|48453000607|Census Tract 6.07|477837|0|G5020|S|20740378117027|48453000604|Census Tract 6.04|666856|0|G5020|S|477837|0
2079015903238389|48453000608|Census Tract 6.08|189019|0|G5020|S|20740378117027|48453000604|Census Tract 6.04|666856|0|G5020|S|189019|0
20790378117045|48453000700|Census Tract 7|1615143|0|G5020|S|20740378117045|48453000700|Census Tract 7|1615143|0|G5020|S|1615143|0
20790378117064|48453000801|Census Tract 8.01|1297989|0|G5020|S|20740378117064|48453000801|Census Tract 8.01|1292329|0|G5020|S|1292329|0
20790378117064|48453000801|Census Tract 8.01|1297989|0|G5020|S|20740378116612|48453002111|Census Tract 21.11|6514829|380406|G5020|S|5660|0
20790378117079|48453000802|Census Tract 8.02|1711811|0|G5020|S|20740378117079|48453000802|Census Tract 8.02|1711811|0|G5020|S|1711811|0
20790378117095|48453000803|Census Tract 8.03|1444991|0|G5020|S|20740378117095|48453000803|Census Tract 8.03|1444991|0|G5020|S|1444991|0
20790378117112|48453000804|Census Tract 8.04|1047634|0|G5020|S|20740378117112|48453000804|Census Tract 8.04|1047634|0|G5020|S|1047634|0
20790378117130|48453000901|Census Tract 9.01|867121|0|G5020|S|20740378117130|48453000901|Census Tract 9.01|867121|0|G5020|S|867121|0
20790378117146|48453000902|Census Tract 9.02|3041426|0|G5020|S|20740378117146|48453000902|Census Tract 9.02|3041426|0|G5020|S|3041426|0
20790378117161|48453001000|Census Tract 10|1981569|354829|G5020|S|20740378117161|48453001000|Census Tract 10|1981569|355821|G5020|S|1981569|354829
2079015903240321|48453001101|Census Tract 11.01|1144730|0|G5020|S|20740378117180|48453001100|Census Tract 11|2437645|239536|G5020|S|1144730|0
2079015903241110|48453001102|Census Tract 11.02|454898|66635|G5020|S|20740378117180|48453001100|Census Tract 11|2437645|239536|G5020|S|454898|66635
2079015903291856|48453001103|Census Tract 11.03|838017|172901|G5020|S|20740378117180|48453001100|Census Tract 11|2437645|239536|G5020|S|838017|172901
20790378117197|48453001200|Census Tract 12|2351554|162056|G5020|S|20740378117197|48453001200|Census Tract 12|2351554|162056|G5020|S|2351554|162056
20790378117228|48453001304|Census Tract 13.04|1827986|0|G5020|S|20740378117228|48453001304|Census Tract 13.04|1827986|0|G5020|S|1827986|0
20790378117255|48453001307|Census Tract 13.07|1769497|0|G5020|S|20740378117255|48453001307|Census Tract 13.07|1793883|0|G5020|S|1769497|0
20790378117268|48453001308|Census Tract 13.08|1275625|0|G5020|S|20740378117268|48453001308|Census Tract 13.08|1305980|0|G5020|S|1275625|0
2079015903216354|48453001309|Census Tract 13.09|1061283|43869|G5020|S|20740378117210|48453001303|Census Tract 13.03|1696292|43869|G5020|S|1061283|43869
2079015903240755|48453001310|Census Tract 13.10|635009|0|G5020|S|20740378117210|48453001303|Census Tract 13.03|1696292|43869|G5020|S|635009|0
2079015903180023|48453001311|Census Tract 13.11|1106338|65346|G5020|S|20740378117242|48453001305|Census Tract 13.05|3074653|65346|G5020|S|1106338|65346
2079015903181935|48453001312|Census Tract 13.12|1968315|0|G5020|S|20740378117242|48453001305|Census Tract 13.05|3074653|65346|G5020|S|1968315|0
20790378115185|48453001401|Census Tract 14.01|1266478|124654|G5020|S|20740378115185|48453001401|Census Tract 14.01|1263792|114078|G5020|S|1263792|114078
20790378115185|48453001401|Census Tract 14.01|1266478|124654|G5020|S|20740378117281|48453001402|Census Tract 14.02|1308353|52188|G5020|S|2686|10576
20790378117281|48453001402|Census Tract 14.02|1305667|41612|G5020|S|20740378117281|48453001402|Census Tract 14.02|1308353|52188|G5020|S|1305667|41612
20790378115494|48453001403|Census Tract 14.03|800036|0|G5020|S|20740378115494|48453001403|Census Tract 14.03|800629|0|G5020|S|800036|0
20790378103996|48453001501|Census Tract 15.01|3472367|0|G5020|S|20740378103996|48453001501|Census Tract 15.01|3472367|0|G5020|S|3472367|0
20790378104009|48453001503|Census Tract 15.03|3475141|0|G5020|S|20740378104009|48453001503|Census Tract 15.03|3475141|0|G5020|S|3475141|0
20790378104019|48453001504|Census Tract 15.04|2633763|0|G5020|S|20740378104019|48453001504|Census Tract 15.04|2633763|0|G5020|S|2633763|0
20790378104030|48453001505|Census Tract 15.05|2152918|0|G5020|S|20740378104030|48453001505|Census Tract 15.05|2152918|0|G5020|S|2152918|0
20790378104040|48453001602|Census Tract 16.02|2637501|246391|G5020|S|20740378104040|48453001602|Census Tract 16.02|2637501|246743|G5020|S|2637501|246391
20790378104050|48453001603|Census Tract 16.03|2559600|0|G5020|S|20740378104050|48453001603|Census Tract 16.03|2559600|0|G5020|S|2559600|0
20790378104062|48453001604|Census Tract 16.04|3035085|286342|G5020|S|20740378104062|48453001604|Census Tract 16.04|3035085|309973|G5020|S|3035085|286342
20790378104073|48453001605|Census Tract 16.05|1894186|0|G5020|S|20740378104073|48453001605|Census Tract 16.05|1894186|0|G5020|S|1894186|0
20790378116734|48453001606|Census Tract 16.06|503773|0|G5020|S|20740378116734|48453001606|Census Tract 16.06|503773|0|G5020|S|503773|0
20790378116556|48453001910|Census Tract 19.10|6776565|299970|G5020|S|20740378104040|48453001602|Census Tract 16.02|2637501|246743|G5020|S|0|272
20790378116556|48453001910|Census Tract 19.10|6776565|299970|G5020|S|20740378116556|48453001910|Census Tract 19.10|6727799|232622|G5020|S|6714298|232622
20790378116556|48453001910|Census Tract 19.10|6776565|299970|G5020|S|20740378116598|48453001913|Census Tract 19.13|12038535|529279|G5020|S|0|67076
20790378116556|48453001910|Census Tract 19.10|6776565|299970|G5020|S|207403717220846|48453001918|Census Tract 19.18|8619366|0|G5020|S|36295|0
20790378116556|48453001910|Census Tract 19.10|6776565|299970|G5020|S|207403717220850|48453001919|Census Tract 19.19|4446080|0|G5020|S|25972|0
20790378104460|48453001911|Census Tract 19.11|3274085|73868|G5020|S|20740378104460|48453001911|Census Tract 19.11|3274085|73868|G5020|S|3274085|73868
20790378115736|48453001912|Census Tract 19.12|13484912|1187454|G5020|S|20740378115736|48453001912|Census Tract 19.12|13460746|1291827|G5020|S|13460746|1187454
20790378115736|48453001912|Census Tract 19.12|13484912|1187454|G5020|S|207403717220833|48453001916|Census Tract 19.16|13495233|72|G5020|S|24166|0
